Lista de Productos;;;;;
Montos en USD a la tasa 213,373.00;;;;;
Código;Descripción;Costo;Precio;Costo USD;Precio USD
2008759;SOLOMO TIO COCHINO dCOCHINO pK;0.00;86,206,896.55;0.00;404.02
2012894;LOMITO EMPACADO AL VACIO pK;0.00;1,500,000.00;0.00;7.03
1005558;TRASTES CARNE COMPLETOS;220,000.00;314,285.71;1.03;1.47
2002831;LOMO CERDO ARICHUNA AHUMAD pK;144,313.49;230,549.14;0.68;1.08
1004080;CHULETA AHUM pK;103,133.16;191,427.94;0.48;0.90
1524579;CHULETA PLUMROSE AHUM CARAMEL pK;128,902.13;182,590.00;0.60;0.86
2023219;CHULETA EL SUINO AHUM pK;110,272.27;157,531.81;0.52;0.74
1525625;PATICAS CERDO AL FRIO pK;0.00;150,000.00;0.00;0.70
1525629;LOMO CERDO AL FRIO pK;0.00;150,000.00;0.00;0.70
2020647;CARNE PAPELON Pk;0.00;150,000.00;0.00;0.70
2006501;LOMO HAMBURGO CERDO CURADO pK;7,633.82;149,213.52;0.04;0.70
2025256;CHULETA IMPERIA pK AHUMADA;90,000.00;128,571.43;0.42;0.60
2009742;LOMO TOVAR EMBUCHADO PK;87,141.60;124,488.00;0.41;0.58
2021411;CHULETA RICCI AHUMADA pK;82,366.25;123,196.57;0.39;0.58
2023321;CHULETA LA VEGA AHUMADA pK;52,000.00;123,196.57;0.24;0.58
1004073;LOMO SIN HUESO pK;68,122.76;109,000.00;0.32;0.51
2001613;CARNE PULPON (pulpa negra) pK;0.00;99,999.00;0.00;0.47
2022030;CARNE SOLOMO CUERITO EMP VAC pK;0.00;99,999.00;0.00;0.47
2022035;CARNE POLLO DE RES EMP VAC pK;0.00;99,999.00;0.00;0.47
2022036;CARNE MUCHACHO CUADRADO EMP VAC pK;0.00;99,999.00;0.00;0.47
1004075;PERNIL CON HUESO pK;78,015.53;94,199.00;0.37;0.44
1004076;COCHINO CANAL LIMPIO pK;64,000.00;91,428.57;0.30;0.43
1032479;CHULETA COCHINO BAND pK;67,378.74;87,995.00;0.32;0.41
1004072;COSTILLAS COCHINO BAND pK;62,609.11;79,997.00;0.29;0.37
1005540;CARNE LOMITO pK;55,732.95;69,997.00;0.26;0.33
1005541;CARNE SOLOMO DE CUERITO pK;59,120.29;69,997.00;0.28;0.33
1005542;CARNE PUNTA TRASERA pK;58,052.94;69,997.00;0.27;0.33
1005653;CARNE TBONE STEAK pK;20,181.35;65,997.00;0.09;0.31
2023530;CARNE TOMAHAWK STEAK pK;35,052.21;63,997.00;0.16;0.30
1524376;CARNE  CERDO MOLIDA pK;32,491.49;61,000.00;0.15;0.29
1026880;ASADO LIMPIO pK;46,796.36;60,997.00;0.22;0.29
1026608;PATAS CERDO pK;41,348.64;59,069.49;0.19;0.28
1527658;CARNE SEGUNDA pK;41,940.64;56,497.00;0.20;0.26
1032478;CHULETA DE RES pK;42,774.20;50,323.97;0.20;0.24
1005544;CARNE PULPA NEGRA BISTECK pK;41,374.02;49,999.00;0.19;0.23
1005545;CARNE CHOCOZUELA pK;41,306.57;49,999.00;0.19;0.23
1005546;CARNE MUCHACHO CUADRADO pK;41,334.33;49,999.00;0.19;0.23
1005547;CARNE MUCHACHO REDONDO pK;41,290.79;49,999.00;0.19;0.23
1005566;CARNE CHOCOZUELA MOLIDA pK;47,939.17;49,999.00;0.22;0.23
1511799;CARNE GANZO pK;41,021.00;49,999.00;0.19;0.23
1511804;CARNE PECHO pK;46,040.19;49,999.00;0.22;0.23
1005549;CARNE LAGARTO sHUESO pK;45,346.79;48,997.00;0.21;0.23
1023190;CARNE PALETA pK;41,327.70;48,629.82;0.19;0.23
1032461;CARNE FALDA pK;38,676.96;48,000.00;0.18;0.22
1004086;PERNIL REBANADO pK;16,570.80;45,997.00;0.08;0.22
1005556;CARNE NOVILLO TIPO A DESPOSTABLE pK;28,500.00;40,722.31;0.13;0.19
1005903;CARNE MOLIDA LIMPIA pK;34,383.56;39,997.00;0.16;0.19
1021568;CARNE GUISAR PK;35,434.50;39,997.00;0.17;0.19
1005551;CARNE LAGARTO cHUESO pK;33,338.99;39,297.33;0.16;0.18
1005567;CARNE ASADO TIRA pK;27.67;34,997.00;0.00;0.16
1025795;CHULETA ARICHUNA AHUM pK;0.00;33,961.21;0.00;0.16
1507582;CHULETA ALIMEX AHUMADA pK;0.00;33,961.21;0.00;0.16
1004077;PATICAS DE COCHINO pK;23,404.66;33,435.23;0.11;0.16
2023942;CHULETA COCHINO TRANSFORMAR pK;0.00;31,037.14;0.00;0.15
1005571;COSTILLA RES pK;23,732.25;27,990.00;0.11;0.13
1509095;COSTILLA CHINA pK;18,462.00;26,374.29;0.09;0.12
1512108;CHULETA MOQUEO AHUMADA pK;0.00;22,844.29;0.00;0.11
1005989;CARNE SIRLOIN STEAK pK;0.00;18,499.00;0.00;0.09
2022531;LOMITO dCERDO pK;0.00;14,000.00;0.00;0.07
1507589;COMBO MOQUEO PALETA PERNIL pk;0.00;13,494.11;0.00;0.06
1512927;HUESO FRIGO SAM AHUM pK;0.00;12,931.03;0.00;0.06
1507584;LOMO ENTERO CONG pK;0.00;12,820.00;0.00;0.06
